post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187332483.orbits,2026-02-08T21:48:47.901Z,true,2026-02-08T21:48:48.002Z,2026-02-08T21:48:48.002Z,newsletter,everyone,Orbits,Feeling freefall,
186770480.quick-reflection,2026-02-03T20:08:45.439Z,true,2026-02-03T20:08:45.610Z,2026-02-03T20:08:45.610Z,newsletter,everyone,Quick reflection,Replaying the oldies,
186555844.life-updates,2026-02-01T23:38:42.356Z,true,2026-02-01T23:38:42.449Z,2026-02-01T23:38:42.449Z,newsletter,everyone,Life updates,"Things are changing. Or, at least, it looks like it.",
186159243.human-connection,2026-01-29T04:50:33.978Z,true,2026-01-29T04:50:34.109Z,2026-01-29T04:50:34.109Z,newsletter,everyone,Human connection,Cages and bridges,
185447111.alignment,2026-01-22T19:12:02.855Z,true,2026-01-22T19:12:03.007Z,2026-01-22T19:12:03.007Z,newsletter,everyone,Alignment,"An intrinsic good, or...?",
185004758.ive-changed,2026-01-18T22:27:06.087Z,true,2026-01-18T22:27:06.214Z,2026-01-18T22:27:06.214Z,newsletter,everyone,I’ve changed,Remembering what’s gone,
183877039.contingency-diagrams,2026-01-08T05:46:32.255Z,true,2026-01-08T05:46:32.395Z,2026-01-08T05:46:32.395Z,newsletter,everyone,Contingency diagrams,Mapping anxiety with directed acyclic graphs,
183007507.bye-bye-pacifier,2025-12-30T23:25:06.220Z,true,2025-12-30T23:25:06.350Z,2025-12-30T23:25:06.350Z,newsletter,everyone,"Bye bye, pacifier",I’m too old to keep sucking my thumb,
181759791.almost-free,2025-12-16T04:57:15.477Z,true,2025-12-16T04:57:15.588Z,2025-12-16T04:57:15.588Z,newsletter,everyone,Almost free,I’ve been pushing on a door marked “pull”,
181199645.re-conditioning,2025-12-10T02:49:38.823Z,true,2025-12-10T02:49:38.971Z,2025-12-10T02:49:38.971Z,newsletter,everyone,Re-conditioning,Finding more chips and cracks in the foundation,
180680316.intentional-dissolution,2025-12-04T07:05:19.097Z,true,2025-12-04T07:05:19.248Z,2025-12-04T07:05:19.248Z,newsletter,everyone,Intentional dissolution,A physical processing of letting go,
180644461.bulbous-brains-and-bedtime-stories,2025-12-03T23:48:54.734Z,true,2025-12-03T23:48:55.013Z,2025-12-03T23:48:55.013Z,podcast,everyone,Bulbous brains and bedtime stories,"Solving internet arguments and expanding our ""A"" ceilings",
180527121.onboarding-in-public-feat-shadow,2025-12-02T20:34:36.841Z,true,2025-12-02T20:34:37.172Z,2025-12-02T20:34:37.172Z,podcast,everyone,Onboarding in Public feat. Shadow Rebbe,An open source onboarding session for ORI/OMI,
180209941.nutrient-sparse,2025-11-28T21:47:45.201Z,true,2025-11-28T21:47:45.299Z,2025-11-28T21:47:45.299Z,newsletter,everyone,Nutrient sparse,Life is accidentally starving me,
179663973.your-melody,2025-11-22T18:43:01.469Z,true,2025-11-22T18:43:01.588Z,2025-11-22T18:43:01.588Z,newsletter,everyone,Your melody,Are you missing the trees for the forest?,
179489338.talk-anatomy-of-an-internet-argument,2025-11-20T22:25:35.082Z,true,2025-11-20T22:25:35.288Z,2025-11-20T22:25:35.288Z,podcast,everyone,Talk: Anatomy of an Internet Argument,How to propagate love in a warzone 💖,
179489322.006,,false,,,podcast,everyone,,,
179412697.when-the-ground-disappears,2025-11-20T01:47:04.717Z,true,2025-11-20T01:47:04.894Z,2025-11-20T01:47:04.894Z,newsletter,everyone,When the ground disappears,"You don't fall, but it can feel like it if you squint",
178132799.love-hype-and-capitalization,2025-11-06T20:16:31.966Z,true,2025-11-06T20:16:32.127Z,2025-11-06T20:16:32.127Z,podcast,everyone,"Love, Hype, and Capitalization",The search for stability and coherence,
177793439.why-build,2025-11-02T13:39:46.642Z,true,2025-11-02T13:39:46.850Z,2025-11-02T13:39:46.850Z,newsletter,everyone,Why build?,What compels me to prototype time and time again?,
177695831.tweets-from-the-classroom,2025-11-01T00:55:56.523Z,true,2025-11-01T00:55:56.679Z,2025-11-01T00:55:56.679Z,podcast,everyone,"Tweets from the ""Classroom""","Ads, Arguments, and Attunement",
177229187.compassionate-kill,2025-10-27T01:33:57.594Z,true,2025-10-27T01:33:57.725Z,2025-10-27T01:33:57.725Z,newsletter,everyone,Compassionate kill,Carrying old parts gracefully to their ends,
176872036.water-wheelin-and-dealing,2025-10-23T00:40:13.106Z,true,2025-10-23T00:40:13.276Z,2025-10-23T00:40:13.276Z,podcast,everyone,Water Wheelin' and Dealing,Finding and pivoting on the invariance points,
176602165.on-and-on-love,2025-10-20T00:34:50.327Z,true,2025-10-20T00:34:50.464Z,2025-10-20T00:34:50.464Z,newsletter,everyone,On and on love,Collaborative heartbreaking,
176529397.paradigms-pistons-and-pruning,2025-10-19T03:19:07.685Z,true,2025-10-19T03:19:07.960Z,2025-10-19T03:19:07.960Z,podcast,everyone,"Paradigms, Pistons, and Pruning","Paradigm-juicing pistons, pruning as intelligence, and shifts we make",
175990765.seeking-impact,2025-10-12T23:16:13.454Z,true,2025-10-12T23:16:13.634Z,2025-10-12T23:16:13.634Z,newsletter,everyone,Seeking impact,Trying to manifest something “real”,
175646863.self-pity,2025-10-08T20:27:41.407Z,true,2025-10-08T20:27:41.576Z,2025-10-08T20:27:41.576Z,newsletter,everyone,Self-pity,Balancing the books of my pain,
175302323.lighted-glass,2025-10-05T01:20:18.922Z,true,2025-10-05T01:20:19.078Z,2025-10-05T01:20:19.078Z,newsletter,everyone,Lighted glass,Observation and expression in one another,
175226389.the-hardest-mile,2025-10-03T21:02:31.907Z,true,2025-10-03T21:02:32.242Z,2025-10-03T21:02:32.242Z,newsletter,everyone,The hardest mile,Last-mile delivery gets no love,
174212039.focus-fatigue,2025-09-22T01:51:09.548Z,true,2025-09-22T01:51:10.000Z,2025-09-22T01:51:10.000Z,newsletter,everyone,Focus fatigue,Learning to breathe through the tangles,
173988899.living-with-idea-addiction,2025-09-19T02:38:19.699Z,true,2025-09-19T02:38:19.806Z,2025-09-19T02:38:19.806Z,podcast,everyone,Living with idea addiction,Carving out a fruitful life with considerate rewards,
173254493.letter-from-38,2025-09-10T09:42:21.171Z,true,2025-09-10T09:42:21.273Z,2025-09-10T09:42:21.273Z,newsletter,everyone,Letter from 38,Just some things I will wish I knew now,
173126258.ants-egregores-and-hard-drives,2025-09-08T22:21:24.483Z,true,2025-09-08T22:21:24.626Z,2025-09-08T22:21:24.626Z,podcast,everyone,"Ants, Egregores, and Hard Drives","Individual agency, collective decisions, and why loving attention beats micromanagement",
172592185.back-on-the-bull,2025-09-02T17:53:55.227Z,true,2025-09-02T17:53:55.313Z,2025-09-02T17:53:55.313Z,newsletter,everyone,Back on the bull,"Tugging at the horns, hoping they loosen",
172514434.is-this-a-podcast-or-a-call-feat,2025-09-01T22:43:47.353Z,true,2025-09-01T22:43:47.466Z,2025-09-01T22:43:47.466Z,podcast,everyone,Is this a podcast or a call? feat. Defender and Caleb,"Reflexivity, culture wars, and why getting better at predicting the future might be dangerous",
172457887.getting-effed-by-life-and-effing,2025-09-01T06:31:01.000Z,true,2025-09-01T06:31:01.104Z,2025-09-01T06:31:01.104Z,newsletter,everyone,Getting effed by life and effing it right back,"The renewable, rapturous freedom of aesthetic intimacy",
172314952.mechanics-of-belief-feat-defenderofbasic,2025-08-19T04:55:00.000Z,true,2025-08-30T04:55:50.217Z,2025-08-30T04:55:50.217Z,podcast,everyone,Mechanics of Belief feat. DefenderOfBasic,"Defender and Joshua explore memetics, belief systems, and why the frontier is emptier than you think",
172310946.the-joshua-paradox,2025-08-30T01:32:52.959Z,true,2025-08-30T01:32:53.052Z,2025-08-30T01:32:53.052Z,newsletter,everyone,The Joshua Paradox,An Odyssey Through Being and Not-Being,
172155180.self-expression-through-claude,2025-08-28T08:57:54.630Z,true,2025-08-28T08:57:54.728Z,2025-08-28T08:57:54.728Z,newsletter,everyone,Self-expression through Claude,Am I the only one who finds this therapeutic?,
172070569.certainty-in-wonder-gpts-version,2025-08-27T09:32:48.856Z,true,2025-08-27T09:32:48.972Z,2025-08-27T09:32:48.972Z,newsletter,everyone,Certainty in Wonder (GPT's Version),Sitting with a strange solidity of the unknown,
171949601.chaos-and-order-feat-defenderofbasic,2025-08-26T03:18:21.661Z,true,2025-08-26T03:18:21.780Z,2025-08-26T03:18:21.780Z,podcast,everyone,Chaos and Order feat. DefenderOfBasic,"On creativity, workflows, and the eternal tension between rational structure and intuitive flow",
171786162.life-an-exercise-in-creativity,2025-08-24T07:03:33.452Z,true,2025-08-24T07:03:33.551Z,2025-08-24T07:03:33.551Z,newsletter,everyone,Life: An exercise in creativity,Some old keys that unlocked a few good doors,
171756754.date-me-chats,2025-08-23T18:41:32.967Z,true,2025-08-23T18:41:33.077Z,2025-08-23T18:41:33.077Z,newsletter,everyone,"""Date me chats""","I'm not looking to date, now. But I will, and I'll bring this energy when I do.",
171101533.weather-between-science-and-art,2025-08-16T02:18:24.937Z,true,2025-08-16T02:18:25.066Z,2025-08-16T02:18:25.066Z,newsletter,everyone,Weather Between Science and Art,"On conversation, triangulation, and the art of leaving space",
170847226.my-life-is-my-play,2025-08-13T04:12:28.946Z,true,2025-08-13T04:12:29.081Z,2025-08-13T04:12:29.081Z,newsletter,everyone,My life is my play,"My play is my art. Life and art. Nothing special. The ""game"" continues.",
170754799.fathers-present,2025-08-12T07:20:52.596Z,true,2025-08-12T07:20:52.703Z,2025-08-12T07:20:52.703Z,newsletter,everyone,Father's present,I've told a lot about my pain. I'm ready to share in some of my joy.,
170681025.musing-on-human-llm-relationships,2025-08-11T12:38:50.923Z,true,2025-08-11T12:38:51.036Z,2025-08-11T12:38:51.036Z,newsletter,everyone,Musing on human-LLM relationships,A search for total internal reflection,
170488797.putting-out-my-current-list,2025-08-09T23:03:59.675Z,true,2025-08-09T23:03:59.789Z,2025-08-09T23:03:59.789Z,newsletter,everyone,Putting out my current list,How would I even know if this is complete? It can't complete itself.,
169406014.availability,2025-07-27T22:05:09.673Z,true,2025-07-27T22:05:09.792Z,2025-07-27T22:05:09.792Z,newsletter,everyone,Availability,A curse of ritual self-neglect,
167232620.ive-had-more-than-enough,2025-07-01T02:07:10.303Z,true,2025-07-01T02:07:10.430Z,2025-07-01T02:07:10.430Z,newsletter,everyone,I've had more than enough,"What it feels like to finally ""control"" my mind",
166669749.gestalt-theory-of-experience,2025-06-23T19:21:47.386Z,true,2025-06-23T19:21:47.587Z,2025-06-23T19:21:47.587Z,newsletter,everyone,Gestalt theory of experience,"Don't try to dissect the waves, just ride",
165813584.hard-headed,2025-06-12T19:44:39.328Z,true,2025-06-12T19:44:39.456Z,2025-06-12T19:44:39.456Z,newsletter,everyone,Hard-headed,Loosening the grip on my skull and letting things flow,
164531112.beyond-consent,2025-05-27T03:32:45.464Z,true,2025-05-27T03:32:45.551Z,2025-05-27T03:32:45.551Z,newsletter,everyone,Beyond consent,Observing for mutuality,
163866477.university-industrial-complex,2025-05-18T18:50:11.606Z,true,2025-05-18T18:50:11.731Z,2025-05-18T18:50:11.731Z,newsletter,everyone,University Industrial Complex,An accidental partial ecology of higher education,
163789727.humanistic-a,2025-05-17T16:54:48.967Z,true,2025-05-17T16:54:49.048Z,2025-05-17T16:54:49.048Z,newsletter,everyone,Humanistic A*,Somatic-enhanced pathfinding out of the cave,
163070857.shh-no-stick-only-carrots-now,2025-05-07T17:46:04.936Z,true,2025-05-07T17:46:05.043Z,2025-05-07T17:46:05.043Z,newsletter,everyone,"Shh. No stick, only carrots now",Stahp. Just...stahp.,
162566882.money-is-dehydrated-life-force,2025-04-30T20:04:15.581Z,true,2025-04-30T20:04:15.752Z,2025-04-30T20:04:15.752Z,newsletter,everyone,Money is dehydrated life force,"Money isn't everything, but it's connected to it all",
161320850.accidentally-being-seen-through,2025-04-14T19:35:58.561Z,true,2025-04-14T19:35:58.678Z,2025-04-14T19:35:58.678Z,newsletter,everyone,Accidentally being seen through,Be careful what you ask for... you just might get it!,
160147154.running-on-grief,2025-03-29T19:07:30.928Z,true,2025-03-29T19:07:31.024Z,2025-03-29T19:07:31.024Z,newsletter,everyone,Running on grief,Learning to stop running and love the bag,
158797943.dreams-as-initiation,2025-03-10T20:08:33.524Z,true,2025-03-10T20:08:33.640Z,2025-03-10T20:08:33.640Z,newsletter,everyone,Dreams as initiation,How I learned to stop running and just hug the Minotaur.,
157028280.ai-for-musing,2025-02-12T22:48:30.111Z,true,2025-02-12T22:48:30.242Z,2025-02-12T22:48:30.242Z,newsletter,everyone,AI for musing,Turning to a chatbot to reflect and articulate everyday reflections,
157008468.loving-the-work,2025-02-12T17:37:02.198Z,true,2025-02-12T17:37:02.294Z,2025-02-12T17:37:02.294Z,newsletter,everyone,Loving the work,Finding the gap between non-coercion and enjoyment and blowing it the fuck up,
156492783.chatgpt-as-a-cultural-telescope,2025-02-04T23:39:42.332Z,true,2025-02-04T23:39:42.445Z,2025-02-04T23:39:42.445Z,newsletter,everyone,ChatGPT as a cultural telescope,Using digital intelligence to see more clearly into the past,
154515153.feeling-through-the-chaos,2025-01-10T00:19:34.621Z,true,2025-01-10T00:19:34.735Z,2025-01-10T00:19:34.735Z,newsletter,everyone,Feeling through the chaos,More fetter work. I might try this every day for a month and see what happens. Would there be anything left?,
154504435.a-day-of-reflection,2025-01-09T20:06:26.604Z,true,2025-01-09T20:06:26.682Z,2025-01-09T20:06:26.682Z,newsletter,everyone,A day of reflection,This is what happens when I slow down and sit,
147341273.agents-i-have-known-and-loved,2024-08-04T17:23:44.077Z,true,2024-08-04T17:23:44.191Z,2024-08-04T17:23:44.191Z,newsletter,everyone,Agents I have known and loved,A tribute to my favorite entities and the prompts that create them,
147321945.a-quick-philosophy,2024-08-03T21:58:11.158Z,true,2024-08-03T21:58:11.277Z,2024-08-03T21:58:11.277Z,newsletter,everyone,A quick philosophy,Co-writing with Otter and Claude,
145767214.the-chips-stay-on-the-table,2024-06-18T17:34:46.376Z,true,2024-06-18T17:34:46.444Z,2024-06-18T17:34:46.444Z,newsletter,everyone,The chips stay on the table,It all plays out here,
145576141.back-in-my-body,2024-06-12T16:27:26.758Z,true,2024-06-12T16:27:26.859Z,2024-06-12T16:27:26.859Z,newsletter,everyone,Back in my body,"Technically, I never left, but that's a distinction without a difference.",
144862967.llm-primitives-or-ai-building-blocks,2024-05-22T05:28:39.015Z,true,2024-05-22T05:28:39.129Z,2024-05-22T05:28:39.129Z,newsletter,everyone,"LLM primitives, or AI building blocks",LLMs as language mungers,
144380862.just-technology,2024-05-06T21:48:33.131Z,true,2024-05-06T21:48:33.294Z,2024-05-06T21:48:33.294Z,newsletter,everyone,Just technology,Why are we even here?,
144380847.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
